firm_id,date,text
General Electric,2017-4,General Electric gets an order from AE Energia - Reuters Investor Briefs
General Electric,2017-4,{{20170502T120827.440+0000}}BRIEF-General Electric gets an order from AE Energia May 2 (Reuters) - General Electric Co :
General Electric,2017-4,"* General Electric Co- announced an order from AE Energia for fast, digital power in Angola"
General Electric,2017-4,"{{20170502T070047.496+0000}}CORRECTED-German project looks to home photovoltaic systems to help grid(Corrects to read solar battery maker, paragraph 1)"
General Electric,2017-4,"FRANKFURT, May 2 (Reuters) - Grid operator Tennet and solar battery maker Sonnen GmbH have launched a pilot project that will tap home photovoltaic (PV) systems to help iron out imbalances on Germany's power network."
General Electric,2017-4,"TenneT and Sonnen's e-Services subsidiary aim to sign up 6,000 household PV producers equipped with storage batteries by the end of May."
General Electric,2017-4,"The project will be supported by blockchain technology from IBM , which works as an inexpensive transaction-processing system for tracking and recording encrypted information. [nL5N1GG2JT]"
General Electric,2017-4,"It holds potential to link up small energy ""prosumers"" and make them independent of centralised power providers."
General Electric,2017-4,"""A home storage unit for solar power on its own is less valuable than one that can be used collectively,"" said Philipp Schroeder, director of sales and marketing at Bavaria-based Sonnen. [nL5N1FF2U9]"
General Electric,2017-4,"""We will be able to create a big virtual power line. That is revolutionary."""
General Electric,2017-4,The two partners aim to initially pool 24 megawatts (MW) of power capacity for TenneT to use as a buffer for variable wind power.
General Electric,2017-4,"""Balancing"" power is so far handled mainly by traditional power plants while surplus wind power is often dealt with by curbing turbine output or throwing output away."
General Electric,2017-4,"""We want to find out how we can reduce the waste of wind power by storing it in Sonnen batteries that we can access in the North while releasing power from solar energy stored at Sonnen batteries in southern Germany,"" said Urban Keussen, board chairman of the board at TenneT's German unit."
General Electric,2017-4,"Germany currently subsidises renewable power producers with billions of euros a year, regardless of demand."
General Electric,2017-4,"Because network development lags far behind, a lot of power is wasted because the north houses most of Germany's wind turbines whose output cannot reach industrial users in the south."
General Electric,2017-4,"New transport lines, funded via grid fees charged to consumers, will take years to build. [nL8N18Z1SF]"
General Electric,2017-4,"Schroeder said he saw big potential for solar pv ""communities"" filling gaps in the meantime."
General Electric,2017-4,"Germany has 15 million detached houses and 1.7 million photovoltaic units, but only 50,000 home storage units."
General Electric,2017-4,"Should 10 percent of all households use solar plus storage in 10 years, that would create capacity of some 6 gigawatts of power, he said, equivalent to six nuclear plants."
General Electric,2017-4,"{{20170501T110001.355+0000}}RPT-Amazon's moves beyond retail get Wall Street thumbs up, for now(Repeats story first published on Friday)"
General Electric,2017-4,"SAN FRANCISCO, April 28 (Reuters) - Amazon.com Inc's ventures far beyond online retail, from cloud computing to movie making, are raising questions among corporate strategy experts about its focus."
General Electric,2017-4,"The Seattle-based company wowed Wall Street again this week with a 23 percent jump in sales, pushing its shares to an all-time high. But there are concerns that if blockbuster growth stops, investors may come to regard the company more like a conglomerate stock - worth less than the sum of its pieces."
General Electric,2017-4,"""High growth covers a lot of sins,"" said Harry Kraemer, a partner at private equity firm Madison Dearborn Partners and a professor at Northwestern University's Kellogg School of Management."
General Electric,2017-4,"""Picture yourself running the company where one minute we're talking about how we're going to operate air cargo, and the next minute we're going to talk about artificial intelligence,"" he said. ""I don't think it's sustainable."""
General Electric,2017-4,"So far, analysts have balked at the idea of calling Amazon a conglomerate because its businesses, although varied, all relate in some way to retail. Warehouses, trucks and planes bring packages to shoppers' doorsteps. Amazon Web Services sells the very cloud-computing services to enterprises that were built to meet the technology needs of Amazon.com."
General Electric,2017-4,"""It's not like General Electric Co having financial services and making aircraft engines,"" Baird Equity Research analyst Colin Sebastian said."
General Electric,2017-4,"Some initiatives, though, such as a television studio in Hollywood, seem further afield. Amazon says the video foray has allowed it to stream unique programming to members of its Prime shopping club, thereby increasing sign-ups for a program that encourages people to buy more goods, more often."
General Electric,2017-4,"The financial success of the investment is difficult to assess. Revenue from Prime membership fees and other media subscriptions rose 49 percent in the first quarter to $1.9 billion, the company reported on Thursday. It does not disclose the costs of content for its Prime Video service, but they were estimated by an analyst to be more than $3 billion in 2016."
General Electric,2017-4,"These days, conglomerates like GE are out of fashion in the corporate world. By a standard method of valuation - comparing a company's share price to its earnings per share - Amazon is worth about 10 times more than storied conglomerates Berkshire Hathaway Inc and United Technologies Corp ."
General Electric,2017-4,"Investors discount conglomerate stocks partly because diverse businesses are tough to manage, and partly because they believe the market allots money across industries better than a company can."
General Electric,2017-4,"Indeed, a 2012 report by McKinsey & Co consultants found that conglomerates' revenue on average grew by 6.3 percent per year from 2002 to 2010, while ""focused"" companies grew by 9.2 percent."
General Electric,2017-4,"Amazon has acknowledged its pursuits point in many directions, but stresses they are for the long-term, not for quick gains."
General Electric,2017-4,"Chief Financial Officer Brian Olsavsky rattled off a lengthy list of investments from retail in India to drones and artificial intelligence on the company's earnings conference call on Thursday, in an attempt to explain why its operating profit margin had thinned in North America."
General Electric,2017-4,"""I know I'm drifting a bit from North America, but it's all part of the same theme,"" he told analysts."
General Electric,2017-4,"For now at least, Amazon is being treated as a special case in part from the halo effect around its billionaire founder Jeff Bezos, the second-richest person alive. Many view Bezos as an entrepreneurial genius; he's already extended his reach beyond Amazon to start a space exploration company and purchase the Washington Post."
General Electric,2017-4,"""Bezos gets a longer leash to wander around than the typical CEO,"" said Erik Gordon, a professor at the University of Michigan's Ross School of Business. But he was not convinced it was entirely justified."
General Electric,2017-4,"""You hesitate to bet on this being the singular team that can do something that history has shown - over and over again - is really hard to do,"" said Gordon."
General Electric,2017-4,"Referring to Walt Disney Co's CEO, he said: ""Leave the movie making to Bob Iger."""
General Electric,2017-4,"{{20170426T150629.197+0000}}Airbus reaches 35 A320neo deliveries for 2017 -sourcesPARIS, April 26 (Reuters) - Airbus has delivered 35 A320neo aircraft so far this year, industry sources said on Tuesday, bringing to 103 the number of upgraded medium-haul jets placed in service since deliveries began in January last year."
General Electric,2017-4,"The widely watched deliveries, which as of Monday totalled 9 so far in April, include the first aircraft for Icelandic budget carrier WOW air, which said on Tuesday it had taken the jet, powered by new LEAP engines from CFM International, under a leasing deal with Air Lease Corp ."
General Electric,2017-4,"Airbus aims to deliver some 200 of the A320neo jets, the latest version of Airbus's best-selling jet programme, this year. It is equipped with new fuel-saving engines from either CFM, jointly owned by General Electric and France's Safran , or U.S. rival Pratt & Whitney."
General Electric,2017-4,But deliveries have been hampered partly by problems with Pratt & Whitney's new Geared Turbofan engines.
General Electric,2017-4,"Since A320neo deliveries began in 2016, Airbus has delivered 53 aircraft with Pratt & Whitney engines and 50 powered by CFM."
General Electric,2017-4,Pratt & Whitney parent United Technologies on Tuesday reaffirmed plans to deliver 350 to 400 Geared Turbofan engines to planemakers this year. [nL1N1HY0QP]
General Electric,2017-4,CFM's shareholders have said they are trimming forecasts for LEAP engine deliveries to Airbus and other planemakers in 2017 to 450-500 units from 500. [nL8N1HX6G7]
General Electric,2017-4,Airbus is expected to give an update on its own deliveries to airlines with quarterly earnings on Thursday.
General Electric,2017-4,{{20170426T150454.890+0000}}GE fixes bug in power software as researchers warn of grid hacksApril 26 (Reuters) - General Electric Co said on Wednesday it is fixing a bug in equipment used in electric power systems after three New York University researchers said they identified a vulnerability that could be exploited to shut down parts of the electric grid.
General Electric,2017-4,"""GE has been in contact with the researchers and are working with them to address this issue,"" company spokeswoman Annette Busateri said in an emailed statement. ""We have been in the process of issuing notifications and providing product upgrades to our affected customer base on available firmware updates to address this issue."""
General Electric,2017-4,"{{20170425T185830.589+0000}}UPDATE 1-Aero services lift Safran Q1 sales, talks with Zodiac continue(Recasts, adds CEO comments, background)"
General Electric,2017-4,"PARIS, April 25 (Reuters) - French engine maker Safran reported higher-than-expected first-quarter revenue on Tuesday, buoyed by aerospace services, and told investors it was pushing ahead with plans to increase production of its LEAP civil jet engine."
General Electric,2017-4,Safran confirmed its 2017 outlook and said its adjusted revenue rose 5.5 percent to 3.982 billion euros ($4.36 billion).
General Electric,2017-4,"It also said it continued to hold merger talks with French seats maker Zodiac Aerospace, after outlining an agreed offer in January, but declined to discuss how they were going or how it might go ahead with the two-pronged bid and merger plan."
